ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	1293.00	167.00	0.00	1042.00	87726.00	0.91	2.47	2.34	1980.00	87726.00	84.19	25.00	185.00	43.39	1882.61	11.40	0.00	84.19	0.00	0.00	0.00	1.14	1042.00	9.21	0.01	0.00	10.50	0.04	309.00	202389.77	101834008.00	
2.00	1197.00	148.00	0.00	998.00	111802.00	0.27	1.04	2.67	1806.00	111802.00	112.03	22.00	255.00	67.78	4593.76	13.40	0.00	112.03	0.00	0.00	0.00	0.80	998.00	8.82	0.04	0.00	10.47	0.04	472.47	366704.94	535517824.00	
3.00	1328.00	322.00	0.00	920.00	54619.00	0.54	1.19	2.28	1332.00	54619.00	59.37	24.00	104.00	21.18	448.80	5.41	0.00	59.37	0.00	0.00	0.00	0.82	920.00	8.13	0.01	0.00	9.84	0.13	51.00	12280.49	5494026.00	
4.00	1254.00	394.00	0.00	916.00	64542.00	0.94	3.00	2.41	2021.00	64542.00	70.46	25.00	130.00	32.30	1043.33	9.51	0.00	70.46	0.00	0.00	0.00	1.23	916.00	8.10	0.00	0.00	10.14	0.12	231.51	-15620.71	20358972.00	
5.00	700.00	142.00	0.00	884.00	78530.00	0.64	1.30	1.00	1221.00	78530.00	88.83	24.00	207.00	55.60	3091.72	12.45	0.00	88.83	0.00	0.00	0.00	0.82	884.00	7.82	0.01	0.00	10.24	0.10	159.20	720628.56	287956640.00	
6.00	1215.00	123.00	0.00	879.00	84650.00	0.51	1.16	0.77	1296.00	84650.00	96.30	24.00	243.00	58.23	3390.17	11.86	0.00	96.30	0.00	0.00	0.00	0.78	879.00	7.77	0.03	0.00	10.24	0.07	246.24	359608.28	281366336.00	
7.00	710.00	524.00	0.00	850.00	48855.00	0.81	1.69	2.18	1326.00	48855.00	57.48	25.00	127.00	27.41	751.54	6.67	0.00	57.48	0.00	0.00	0.00	0.89	850.00	7.52	0.01	0.00	9.90	0.14	93.73	98510.20	18594316.00	
8.00	1303.00	768.00	0.00	843.00	56353.00	0.78	1.59	1.25	1131.00	56353.00	66.85	21.00	121.00	27.48	755.20	7.65	0.00	66.85	0.00	0.00	0.00	0.84	843.00	7.45	0.01	0.00	9.98	0.14	56.73	9901.60	13907385.00	
9.00	962.00	824.00	0.00	835.00	57743.00	0.52	1.17	0.72	1292.00	57743.00	69.15	24.00	132.00	29.22	853.65	6.92	0.00	69.15	0.00	0.00	0.00	0.79	835.00	7.38	0.03	0.00	9.98	0.09	70.55	20398.59	19013466.00	
10.00	721.00	776.00	0.00	816.00	59914.00	0.68	1.37	2.80	1008.00	59914.00	73.42	25.00	151.00	34.42	1184.76	8.93	0.00	73.42	0.00	0.00	0.00	0.81	816.00	7.22	0.01	0.00	10.13	0.09	110.23	116786.28	42124444.00	
11.00	1097.00	144.00	0.00	814.00	44832.00	0.74	1.48	2.36	1122.00	44832.00	55.08	23.00	121.00	25.40	645.02	6.59	0.00	55.08	0.00	0.00	0.00	0.85	814.00	7.20	0.01	0.00	9.81	0.10	75.69	78171.80	14533394.00	
12.00	1015.00	440.00	0.00	772.00	55750.00	0.78	1.59	1.88	1134.00	55750.00	72.22	23.00	160.00	38.74	1500.85	10.42	0.00	72.22	0.00	0.00	0.00	0.84	772.00	6.83	0.03	0.00	10.09	0.08	202.00	279591.00	74873912.00	
13.00	988.00	354.00	0.00	769.00	66555.00	0.60	1.25	2.87	952.00	66555.00	86.55	25.00	167.00	39.88	1590.77	9.84	0.00	86.55	0.00	0.00	0.00	0.80	769.00	6.80	0.02	0.00	10.17	0.11	149.39	-11079.65	63099864.00	
