ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	700.00	142.00	0.00	866.00	77992.00	0.66	1.33	0.93	1221.00	77992.00	90.06	25.00	207.00	55.52	3081.98	12.65	0.00	90.06	0.00	0.00	0.00	0.82	866.00	7.66	0.01	0.00	10.25	0.09	162.42	682347.75	281235072.00	
2.00	721.00	776.00	0.00	807.00	59502.00	0.67	1.34	2.79	1008.00	59502.00	73.73	25.00	151.00	34.48	1189.00	8.97	0.00	73.73	0.00	0.00	0.00	0.81	807.00	7.14	0.01	0.00	10.11	0.08	111.42	111514.16	42116128.00	
3.00	1097.00	144.00	0.00	801.00	44488.00	0.76	1.53	2.36	1122.00	44488.00	55.54	23.00	121.00	25.34	641.96	6.69	0.00	55.54	0.00	0.00	0.00	0.86	801.00	7.08	0.01	0.00	9.83	0.09	76.96	75765.80	14212291.00	
4.00	711.00	523.00	0.00	789.00	47002.00	0.79	1.63	2.06	1248.00	47002.00	59.57	25.00	127.00	27.34	747.44	7.01	0.00	59.57	0.00	0.00	0.00	0.85	789.00	6.98	0.02	0.00	9.89	0.12	100.81	83360.98	17258166.00	
5.00	988.00	354.00	0.00	769.00	66555.00	0.60	1.25	2.87	952.00	66555.00	86.55	25.00	167.00	39.88	1590.77	9.84	0.00	86.55	0.00	0.00	0.00	0.80	769.00	6.80	0.02	0.00	10.17	0.11	149.39	-11079.65	63099864.00	
6.00	957.00	210.00	0.00	743.00	54983.00	0.78	1.60	2.91	900.00	54983.00	74.00	24.00	147.00	33.66	1132.72	8.70	0.00	74.00	0.00	0.00	0.00	0.83	743.00	6.57	0.03	0.00	10.07	0.10	118.12	77209.71	34720512.00	
7.00	489.00	106.00	0.00	730.00	41370.00	0.70	1.40	2.45	960.00	41370.00	56.67	25.00	111.00	24.73	611.79	6.66	0.00	56.67	0.00	0.00	0.00	0.81	730.00	6.45	0.00	0.00	9.68	0.11	72.74	42427.79	10059664.00	
8.00	1015.00	440.00	0.00	710.00	52529.00	0.82	1.76	1.93	1134.00	52529.00	73.98	23.00	160.00	39.63	1570.55	10.87	0.00	73.98	0.00	0.00	0.00	0.86	710.00	6.28	0.03	0.00	10.00	0.07	215.24	249202.12	75338240.00	
9.00	1194.00	152.00	0.00	691.00	79188.00	0.78	1.59	0.40	1248.00	79188.00	114.60	22.00	255.00	70.87	5021.95	13.41	0.00	114.60	0.00	0.00	0.00	0.79	691.00	6.11	0.05	0.00	10.02	0.04	493.93	399427.09	634407104.00	
10.00	1179.00	171.00	0.00	683.00	66906.00	0.51	1.16	2.76	1023.00	66906.00	97.96	23.00	201.00	58.70	3445.53	13.49	0.00	97.96	0.00	0.00	0.00	0.75	683.00	6.04	0.04	0.00	9.94	0.04	425.60	344964.00	267360672.00	
11.00	1153.00	446.00	0.00	682.00	46162.00	0.61	1.26	1.34	891.00	46162.00	67.69	25.00	145.00	32.97	1086.89	9.15	0.00	67.69	0.00	0.00	0.00	0.75	682.00	6.03	0.00	0.00	9.90	0.09	115.62	117975.59	34007932.00	
12.00	998.00	176.00	0.00	681.00	52372.00	0.46	1.13	0.13	868.00	52372.00	76.90	25.00	155.00	34.20	1169.52	8.11	0.00	76.90	0.00	0.00	0.00	0.77	681.00	6.02	0.05	0.00	9.86	0.12	73.25	68992.70	44074296.00	
13.00	358.00	588.00	0.00	662.00	45505.00	0.75	1.51	1.84	816.00	45505.00	68.74	23.00	126.00	30.86	952.61	8.90	0.00	68.74	0.00	0.00	0.00	0.78	662.00	5.85	0.01	0.00	9.87	0.09	121.84	40019.18	20659232.00	
14.00	1373.00	21.00	0.00	659.00	40683.00	0.83	1.81	2.22	1015.00	40683.00	61.73	23.00	122.00	28.44	809.10	7.54	0.00	61.73	0.00	0.00	0.00	0.87	659.00	5.83	0.01	0.00	9.71	0.08	116.40	70267.82	17514290.00	
15.00	12.00	67.00	0.00	646.00	38527.00	0.49	1.15	1.27	806.00	38527.00	59.64	22.00	114.00	25.40	645.10	6.89	0.00	59.64	0.00	0.00	0.00	0.73	646.00	5.71	0.01	0.00	9.63	0.17	53.10	40102.53	11317793.00	
16.00	953.00	278.00	0.00	645.00	34861.00	0.85	1.88	2.14	980.00	34861.00	54.05	23.00	101.00	20.67	427.15	6.58	0.00	54.05	0.00	0.00	0.00	0.88	645.00	5.70	0.02	0.00	9.67	0.11	87.06	22315.51	4713173.50	
17.00	941.00	842.00	0.00	628.00	52284.00	0.70	1.40	2.51	754.00	52284.00	83.25	22.00	157.00	38.34	1469.82	10.19	0.00	83.25	0.00	0.00	0.00	0.78	628.00	5.55	0.02	0.00	9.86	0.07	205.05	54131.47	56659168.00	
18.00	729.00	494.00	0.00	618.00	38235.00	0.76	1.53	2.56	952.00	38235.00	61.87	25.00	121.00	26.06	679.23	7.32	0.00	61.87	0.00	0.00	0.00	0.79	618.00	5.46	0.03	0.00	9.76	0.08	104.56	51431.41	12541970.00	
19.00	477.00	556.00	0.00	613.00	31814.00	0.58	1.23	0.09	891.00	31814.00	51.90	25.00	92.00	19.58	383.33	5.22	0.00	51.90	0.00	0.00	0.00	0.74	613.00	5.42	0.02	0.00	9.24	0.16	27.10	16349.07	4024860.00	
20.00	515.00	602.00	0.00	609.00	38478.00	0.73	1.47	3.00	832.00	38478.00	63.18	23.00	124.00	27.29	744.60	6.74	0.00	63.18	0.00	0.00	0.00	0.77	609.00	5.38	0.03	0.00	9.67	0.13	58.67	50048.65	15504015.00	
21.00	442.00	36.00	0.00	589.00	35725.00	0.55	1.20	1.19	812.00	35725.00	60.65	23.00	125.00	28.42	807.45	7.01	0.00	60.65	0.00	0.00	0.00	0.75	589.00	5.21	0.04	0.00	9.43	0.17	49.01	72553.07	19170178.00	
22.00	1236.00	311.00	0.00	585.00	38826.00	0.75	1.51	2.25	756.00	38826.00	66.37	23.00	115.00	27.00	729.10	8.07	0.00	66.37	0.00	0.00	0.00	0.80	585.00	5.17	0.02	0.00	9.54	0.13	129.16	-4249.54	11284945.00	
23.00	1292.00	167.00	0.00	583.00	55523.00	0.63	1.29	2.09	1184.00	55523.00	95.24	25.00	185.00	48.18	2321.23	13.14	0.00	95.24	0.00	0.00	0.00	0.72	583.00	5.16	0.04	0.00	9.76	0.02	424.83	25591.39	121069440.00	
24.00	929.00	300.00	0.00	579.00	36166.00	0.70	1.40	2.13	775.00	36166.00	62.46	24.00	127.00	29.73	883.94	8.37	0.00	62.46	0.00	0.00	0.00	0.75	579.00	5.12	0.03	0.00	9.64	0.10	115.35	56217.38	19040112.00	
25.00	582.00	14.00	0.00	578.00	32090.00	0.88	2.07	0.15	777.00	32090.00	55.52	22.00	115.00	23.74	563.41	7.78	0.00	55.52	0.00	0.00	0.00	0.82	578.00	5.11	0.03	0.00	9.43	0.14	61.19	56793.39	10846346.00	
26.00	751.00	641.00	0.00	569.00	30070.00	0.81	1.69	2.18	780.00	30070.00	52.85	25.00	92.00	19.41	376.63	6.40	0.00	52.85	0.00	0.00	0.00	0.80	569.00	5.03	0.00	0.00	9.41	0.10	70.23	10912.15	3252711.25	
27.00	976.00	759.00	0.00	563.00	34868.00	0.70	1.39	2.09	754.00	34868.00	61.93	25.00	106.00	23.56	554.89	7.25	0.00	61.93	0.00	0.00	0.00	0.75	563.00	4.98	0.03	0.00	9.49	0.07	94.02	6801.26	6811724.00	
28.00	97.00	566.00	0.00	562.00	24996.00	0.66	1.33	2.43	728.00	24996.00	44.48	25.00	77.00	13.95	194.58	3.93	0.00	44.48	0.00	0.00	0.00	0.75	562.00	4.97	0.03	0.00	8.83	0.23	20.94	9592.58	1213675.00	
29.00	1081.00	731.00	0.00	562.00	28952.00	0.75	1.51	2.37	841.00	28952.00	51.52	25.00	94.00	19.20	368.60	6.10	0.00	51.52	0.00	0.00	0.00	0.77	562.00	4.97	0.01	0.00	9.38	0.09	64.65	17476.04	3483467.25	
30.00	966.00	826.00	0.00	562.00	39576.00	0.78	1.60	1.81	770.00	39576.00	70.42	24.00	132.00	31.12	968.38	7.42	0.00	70.42	0.00	0.00	0.00	0.78	562.00	4.97	0.04	0.00	9.62	0.09	68.01	41691.04	23701326.00	
31.00	955.00	321.00	0.00	560.00	30674.00	0.92	2.59	1.97	897.00	30674.00	54.78	25.00	101.00	21.10	445.41	8.05	0.00	54.78	0.00	0.00	0.00	0.93	560.00	4.95	0.00	0.00	9.49	0.07	122.36	14757.96	4386538.50	
32.00	1251.00	14.00	0.00	557.00	37596.00	0.69	1.38	2.83	690.00	37596.00	67.50	25.00	125.00	31.24	975.67	9.61	0.00	67.50	0.00	0.00	0.00	0.73	557.00	4.93	0.00	0.00	9.59	0.09	136.57	33809.37	20902262.00	
